,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
2757,Maruti,Wagon R 1.0VXI,567499,2010,Kolkata,Petrol,14600,Manual,1,12897
2758,Hyundai,i20MAGNA O 1.2,692699,2012,Kolkata,Petrol,13311,Manual,1,13164
2759,Ford,Ecosport1.5TITANIUM TDCI,1063999,2014,Kolkata,Petrol,10796,Manual,1,9997
2760,Mahindra,TUV300T8,730699,2017,Kolkata,Petrol,2829,Manual,1,14388
2761,Honda,CitySV CVT PETROL,536299,2016,Kolkata,Petrol,62307,Automatic,2,5212
2762,Renault,KwidRXT,501099,2017,Kolkata,Petrol,96134,Manual,1,4636
2763,Mahindra,ScorpioS5,518699,2020,Kolkata,Petrol,78038,Manual,1,5027
2764,Hyundai,XcentS 1.2,371099,2014,Kolkata,Petrol,2096,Manual,1,11302
2765,Hyundai,XcentS 1.2 OPT,214199,2014,Kolkata,Petrol,3616,Manual,1,11122
2766,Maruti,SwiftVXI,586499,2012,Kolkata,Petrol,4021,Manual,1,10399
2767,Hyundai,XcentS 1.2 OPT,843799,2015,Kolkata,Petrol,46478,Manual,1,8019
2768,Honda,CityZX CVT,877799,2018,Kolkata,Petrol,52722,Automatic,1,7352
2769,Maruti,Swift DzireLDI BS IV,836299,2012,Kolkata,Petrol,9682,Manual,1,11338
2770,Honda,Amaze1.5 VXMT I DTEC,580599,2014,Kolkata,Petrol,14956,Manual,1,7588
2771,Honda,Amaze1.2 VXMT I VTEC,581999,2014,Kolkata,Petrol,21499,Manual,1,11876
2772,Maruti,DzireVXI,754799,2018,Kolkata,Petrol,19168,Manual,1,11080
2773,Honda,CitySV MT PETROL,800299,2015,Kolkata,Petrol,11410,Manual,1,8829
2774,Maruti,SwiftVXI,1517999,2018,Kolkata,Petrol,11081,Manual,1,8035
2775,Maruti,SwiftVXI,930299,2018,Kolkata,Petrol,10266,Manual,1,7674
2776,Maruti,SwiftVXI,790799,2018,Kolkata,Petrol,45918,Manual,1,8664
2777,Maruti,SwiftVXI,637699,2018,Kolkata,Petrol,10233,Manual,1,8902
2778,Honda,CityVX CVT PETROL,1473299,2015,Kolkata,Petrol,5794,Automatic,1,9796
2779,Renault,KwidRXL1.0 EASY-R AT,938099,2017,Kolkata,Petrol,41182,Manual,2,9287
2780,Maruti,DzireVXI,379699,2018,Kolkata,Petrol,3266,Manual,1,7806
2781,Renault,KwidCLIMBER 1.0,793299,2018,Kolkata,Petrol,18142,Manual,1,6858
2782,Honda,CitySV MT PETROL,390599,2014,Kolkata,Petrol,3700,Manual,1,9736
2783,Maruti,SwiftVXI,674399,2018,Kolkata,Petrol,35717,Manual,1,9114
2784,Maruti,SwiftVXI,1128299,2018,Kolkata,Petrol,27238,Manual,1,9276
2785,Hyundai,EonD LITE PLUS,724699,2013,Kolkata,Petrol,61644,Manual,1,8889
2786,Maruti,DzireVXI,820099,2018,Kolkata,Petrol,23441,Manual,1,8658
2787,Maruti,Swift DzireVXI 1.2 BS IV,802599,2013,Kolkata,Petrol,20801,Manual,1,5219
2788,Maruti,Swift DzireVXI 1.2 BS IV,589199,2012,Kolkata,Petrol,65402,Manual,1,8927
2789,Maruti,Swift DzireVXI 1.2 BS IV,1052599,2013,Kolkata,Petrol,41992,Manual,1,5116
2790,Maruti,Swift DzireVXI 1.2 BS IV,729799,2013,Kolkata,Diesel,29193,Manual,1,22609
2791,Maruti,BalenoDELTA 1.2 K12,370699,2018,Kolkata,Petrol,43876,Manual,1,5372
2792,Maruti,Swift DzireVDI BS IV,489299,2012,Kolkata,Petrol,66112,Manual,2,7149
2793,Honda,Amaze1.2 SMT I VTEC,820099,2015,Kolkata,Diesel,138624,Manual,1,10112
2794,Maruti,DzireVXI,534499,2017,Kolkata,Diesel,32277,Manual,1,14305
2795,Maruti,DzireVXI,643199,2017,Kolkata,Petrol,21029,Manual,1,16145
2796,Hyundai,i20 Active1.2 S,1139299,2015,Kolkata,Petrol,55054,Manual,1,6567
2797,Maruti,Swift DzireVXI 1.2 BS IV,1525799,2012,Kolkata,Diesel,59972,Manual,1,24653
2798,Hyundai,i20SPORTZ 1.2 VTVT,452799,2014,Kolkata,Petrol,71520,Manual,1,8366
2799,Maruti,IGNISALPHA 1.2 K12,818299,2018,Kolkata,Petrol,36053,Manual,1,8653
2800,Hyundai,Elite i20SPORTZ 1.2,534199,2016,Kolkata,Petrol,27252,Manual,1,7721
2801,Hyundai,i20SPORTZ 1.2 VTVT,1171199,2013,Kolkata,Petrol,52947,Manual,1,8653
2802,Maruti,Alto 800LXI,1054599,2012,Kolkata,Petrol,16322,Manual,1,21201
2803,Maruti,Swift DzireZXI 1.2 BS IV,1580299,2014,Kolkata,Diesel,46529,Manual,1,7269
2804,Hyundai,i20 Active1.2 S,538099,2016,Kolkata,Diesel,70607,Manual,2,8070
2805,Hyundai,i10SPORTZ 1.2 KAPPA2,487699,2013,Kolkata,Petrol,48400,Manual,2,8202
2806,Maruti,Swift DzireVXI 1.2 BS IV,1124499,2015,Kolkata,Petrol,36488,Manual,1,13540
2807,Maruti,Swift DzireVXI 1.2 BS IV,717699,2015,Kolkata,Petrol,71118,Manual,2,10891
